"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","The Skin Specialists Clinic HC II","QUP3DmaEmL8","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","The Surgeon's Plaza HC II","JlJEgbrfw9y","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","The Surgery HC III","r7gaWycU27e","""""","Functional","HC III","PFP","Private"
"Eastern Region","Bugisu","Mbale District","Bufumbo Subcounty","Thornbury HC II","LDXeMBpjAJq","""""","Functional","HC II","PNFP","NGO"
"Central Region","Kampala","Kampala District","Makindye Division","Thumbs Up Clinic HC II","KSIA5YYx4h7","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Tick Medical Centre HC II","CxHSlmbZ3B3","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bugisu","Kapchorwa District","Western Division (Kapchorwa MC)","Tigrim HC II","tsmtxxZNaws","{""type"": ""Point"", ""coordinates"": [34.42014, 1.34353]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bukedi","Busia District","Sikuda Subcounty","Tiira HC II","N3qJIvNpuQ3","{""type"": ""Point"", ""coordinates"": [34.07469, 0.52178]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kole District","Akalo Subcounty","Tikoling HC III","keb3IXc29je","""""","Functional","HC III","PNFP","UCMB"
"Northern Region","Lango","Oyam District","Acaba Subcounty","Timagi Medical Centre HC III","DxF0mRh5Ax1","""""","Functional","HC III","PNFP","UCBHCA"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Tim Dental Clinic HC II","SK5MwfzVQ7f","""""","Functional","HC II","PFP","Private"
"Northern Region","Karamoja","Kaabong District","Kamion Subcounty","Timu HC II","Wx22jVH8waG","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Makindye Division","Tina Medical Clinic HC II","n8U1wKuZ2MH","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Tinka Clinic HC II","bE8cnWzNEeh","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Kibuku District","Tirinyi Subcounty","Tirinyi HC III","fskZDKnPGaA","{""type"": ""Point"", ""coordinates"": [33.77484, 1.00905]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Soroti District","Katine Subcounty","Tiriri HC IV","Wyvz7rsEBpd","{""type"": ""Point"", ""coordinates"": [33.45841, 1.90514]}","Functional","HC IV","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Tito Clinic HC II","rIXYNnKS9yV","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Lyantonde District","Kaliiro Subcounty","T.K.F Drug Shop","hWt89zVaEJe","""""","Functional","Drug Shop","GOV","MOH"
"Central Region","South Central","Wakiso District","Bweyogerere Division","Tobiah Medical Centre","Sg5yDPXP17q","""""","Functional","","PFP","Private"
"Eastern Region","Bugisu","Mbale District","Northern Division (Mbale MC)","Tobin Clinic HC II","oAPx6POCS1T","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Todays Dental Clinic HC II","XppP0feoxJE","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Nwoya District","Anaka Subcounty","Todora HC II","Fx43OzTkOmx","{""type"": ""Point"", ""coordinates"": [31.93317, 2.48954]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Nakapiripirit District","Kakomongole Subcounty","Tokora HC IV","oLPpU9BQsKF","{""type"": ""Point"", ""coordinates"": [34.66517, 1.84395]}","Functional","HC IV","GOV","MOH"
"Western Region","Tooro","Bundibugyo District","Bubandi Subcounty","Tombwe HC II","gAHM3KeZpCy","""""","Functional","HC II","GOV","MOH"
"Central Region","North Central","Buikwe District","Nyenga Division","Tongolo HC II","zhFVYJiWUOS","{""type"": ""Point"", ""coordinates"": [33.23584, 0.39044]}","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Hoima District","Buseruka Subcounty","Tonya HC III","UWPodERSmLS","{""type"": ""Point"", ""coordinates"": [31.09055, 1.58628]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Top Care Clinic - Kazo HC II","FrSaxtb8yPE","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Buikwe District","Central Division (Lugazi MC)","Top Care Lugazi Maternity Clinic","saURJVbWEtz","""""","Functional","HC II","PFP","NGO"
"Central Region","North Central","Kayunga District","Kayunga Town Council","Top Care Medical Clinic","TALbsoHWeb5","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Top Joy Clinic HC II","IiB6l95NPen","""""","Functional","HC II","PFP","Private"
"Western Region","Tooro","Kabarole District","Kijura Town Council","Toro Kahuna HC III","BsqCx1RBM4V","{""type"": ""Point"", ""coordinates"": [30.41521, 0.81041]}","Functional","HC III","PNFP","CBO"
"Northern Region","Acholi","Agago District","Wol Subcounty","Toroma HC II","IOuCAfFo6J4","{""type"": ""Point"", ""coordinates"": [33.46326, 2.89074]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Katakwi District","Toroma Subcounty","Toroma HC IV","Vdrd1FtUOrc","{""type"": ""Point"", ""coordinates"": [33.96714, 1.75491]}","Functional","HC IV","GOV","MOH"
"Eastern Region","Bukedi","Tororo District","Western Division (Tororo MC)","Tororo Clinic Center","ibXXRTsBjNX","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Western Division (Tororo MC)","Tororo General Clinic","TT5OLqtl15M","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Eastern Division (Tororo MC)","Tororo Hospital","RPJpuHyPqWP","{""type"": ""Point"", ""coordinates"": [34.187079, 0.697967]}","Functional","Hospital","GOV","MOH"
"Eastern Region","Bukedi","Tororo District","Osukuru Subcounty","Tororo Main Prisons HC III","BiACo115FNv","{""type"": ""Point"", ""coordinates"": [34.22065, 0.654]}","Functional","HC II","GOV","UPS"
"Eastern Region","Bukedi","Tororo District","Eastern Division (Tororo MC)","Tororo Police HC III","dPHGsGPWCmY","{""type"": ""Point"", ""coordinates"": [34.19065, 0.69148]}","Functional","HC III","GOV","UPF"
"Eastern Region","Bukedi","Tororo District","Osukuru Subcounty","Tororo Women Prison HC II","Rzh65XAwmdB","""""","Functional","HC II","","UPS"
"Central Region","South Central","Wakiso District","Kira Division","Total Care Clinic HC II","BGALIHXkx2W","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Total Medical Centre HC II","stQ3ogasObO","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Touch Clinic - Namuwongo HC II","F91loQ3NbZg","""""","Functional","HC II","PNFP","CBO"
"Eastern Region","Bukedi","Pallisa District","Pallisa Town Council","Town Side HC III","PnvTBIeyvZ6","""""","Non-Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Trans - Nile Medical Centre HC II","hXkuCOwBVV6","""""","Functional","HC II","PFP","Private"
"Northern Region","West Nile","Arua District","Dadamu Subcounty","Treat Africa Integrated Ministries Arua","OdMFpJ4zPyQ","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","Triam Medical Centre HC II","aYN6PpIj4bQ","""""","","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nabweru Division","Triangle Medical Clinic","k4SldyzKQF5","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mukono District","Central Division (Mukono MC)","Trinity Clinic","z8nrjOzMV6e","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Teso","Soroti District","Eastern Division (Soroti MC)","Trinity Clinic (Eastern) HC II","BQrjoHOpLxT","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Apac District","Akokoro Subcounty","TRINITY DRUG SHOP - Apac","BG07nmRoFPX","""""","Functional","Drug Shop","",""
"Central Region","Kampala","Kampala District","Kawempe Division","Trinity Health Services HC II","rJnuDijRNfN","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Trinity Life Health Care HC II","oU5FK0jRDPy","{""type"": ""Point"", ""coordinates"": [32.565394, 0.300394]}","Functional","HC II","PFP","Private"
"Western Region","Ankole","Mitooma District","Bitereko Subcounty","Trinity Medical Centre HC III","Mha9ftXo7u5","""""","Non-Functional","HC III","PNFP","Private"
"Central Region","South Central","Wakiso District","Gombe Division","Trinity Medical Clinic (Gombe) HC II","GhJsaRnJrrS","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Omoro District","Lakwana Subcounty","Trinity Medical Clinic (Lakwana) HC II","zhEQbWf7vYg","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Trinity Othocare Clinic","x16BD1f0tNS","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Trio Clinic HC II","GQ1Rbc1GkXb","""""","","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Triple B Clinic","HvaybPcEzgk","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","Tripple B Medical Clinic","pvMhc7H31I2","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Tripple M Clinic HC II","RR8HuxTZMtb","""""","Functional","HC II","PFP","Private"
"Western Region","Tooro","Bunyangabu District","Rwimi Town Council","Trivest Medical Centre HC II","jTmBjPxif9F","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Entebbe Division A","Tropical Clinic (Entebbe) HC II","Usn4fnm0ol6","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Tropical Dental Clinic HC II","cXzxHCdJDg0","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","Tropical Medical Centre","XeikF7zAvSF","""""","","HC II","PFP","Private"
"Eastern Region","Bugisu","Mbale District","Wanale Division","Tropical Medical Centre and Maternity Home","R6PZK1yToJP","""""","Non-Functional","Clinic","PFP","Private"
"Northern Region","West Nile","Arua District","Pajulu Subcounty","Tropical Medical Centre HC II","P60kYT5R9o0","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Kayunga District","Kangulumira Subcounty","Tropical Medical Clinic","c3vuvrojbzI","""""","Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Nabweru Division","Tropical Orthocare Clinic HC II","tZPlBHYaoU9","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Tropical Spa Clinic HC II","GPCvpCvUmXN","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Mayuge District","Mayuge Town Council","True Image Medical Centre","VKtgNboWvmA","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","True Life Care","ePbFaFAiuaL","""""","","Clinic","",""
"Central Region","North Central","Mubende District","Southern Division (Mubende MC)","True Vine Hospital","vG9vHElwinj","""""","Functional","Hospital","PFP","Private"
"Western Region","Bunyoro","Kakumiro District","Igayaza Town Council","True Vine medical Centre HC III","fGIcJN0d2TW","""""","Functional","HC III","PFP",""
"Central Region","South Central","Wakiso District","Nabweru Division","Trust God Medical Clinic","JQvwN38nszn","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Trust in God Clinic HC II","TBHDGmI9l1n","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Iganga District","Northern Division (Iganga MC)","Trust Medical Centre Clinic","cUNKzzineZC","""""","Functional","Clinic","PFP","Private"
"Western Region","Kigezi","Kabale District","Central Division (Kabale MC)","Trust Medical Centre (Kabale) HC II","sXeVz43R3BO","""""","Functional","HC II","PFP","NGO"
"Central Region","South Central","Wakiso District","Massajja Division","Trust Medical Centre (Massajja) HC II","eEPU4r4TFeV","""""","","HC II","PFP","Private"
"Central Region","North Central","Kayunga District","Kangulumira Subcounty","Trust Medical Clinic","CAt5aIGF7zh","""""","Functional","Clinic","PFP","Private"
"Central Region","North Central","Mityana District","Ttamu Division","Ttanda HC II","xXRerG4NkOA","{""type"": ""Point"", ""coordinates"": [32.13372, 0.38434]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Gombe Division","Ttikalu HC III","l8JCkd3nqOV","{""type"": ""Point"", ""coordinates"": [32.50388, 0.54415]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Ttula Clinic HC II","Wwj8be6FRkT","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Tuba Medical Clinic HC II","MllYB8dxt9W","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mukono District","Kisoga Town Council","Tubigobe Medical Clinic HC II","gNKFAvssktN","""""","Functional","HC II","PFP","Private"
"Eastern Region","Teso","Soroti District","Tubur Town Council","Tubur HC III","kkYUoOF74Eb","{""type"": ""Point"", ""coordinates"": [33.51942, 1.95525]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bugisu","Kween District","Kwosir Subcounty","Tuikat HC II","T4aXWHJbR0A","""""","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Terego District","Bileafe Subcounty","Tuku HC II","p5VSwDHxeI1","{""type"": ""Point"", ""coordinates"": [31.02747, 3.10862]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Bukwo District","Tulel Subcounty","Tulel HC II","zsjABvUkY2d","{""type"": ""Point"", ""coordinates"": [34.68286, 1.33731]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Kei Subcounty","Tuliki HC II","H7B1Pk6eZoE","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Tumaini Health Centre HC II","fng0HukpXKi","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Kitgum District","Labongo Akwang Subcounty","Tumangu HC II","mWCozaybY0V","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Kapchorwa District","Kaptanya Subcounty","Tumboboi HC III","lz5JN2jaw2Y","{""type"": ""Point"", ""coordinates"": [34.46808, 1.43589]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Buhweju District","Karungu Subcounty","Tumu Hospital","E4Vcl5DBfpq","""""","Functional","Hospital","PNFP","NGO"
"Western Region","Ankole","Mitooma District","Katenga Subcounty","Tumusiime Medical Centre HC II","CtNp9QdYPvu","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Tumwebaze Clinic HC II","eLc8l5Q4ff7","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nabweru Division","Tumwebaze Medical Clinic HC II","csoDrcyIp2K","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nabweru Division","Tumwebaze Medical Clinic (Nabweru)","trwzJXF46Hh","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bugisu","Bulambuli District","Sisiyi Subcounty","Tunyi HC II","Rg3LeVeNtqJ","{""type"": ""Point"", ""coordinates"": [34.34801, 1.24711]}","Functional","HC II","PNFP","UCMB"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Turkish Kiper Dental Clinic HC II","iCvYZqC0a3q","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Tusubira Clinic HC II","qGftzDww51u","{""type"": ""Point"", ""coordinates"": [32.595567, 0.311245]}","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Tusubira HC II","LWYIaEakDUk","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Tusuubira Med. Cent HC II","B2H2ffGYIGG","""""","","HC II","PNFP","Private"
"Northern Region","West Nile","Yumbe District","Romogi Subcounty","Twajiji Health Centre HC III","i8bLQB8OE5I","""""","Functional","HC III","GOV","MOH"
"Central Region","South Central","Masaka District","Kyesiiga Subcounty","Twegasse Community Clinic","jnZIqtEETZs","""""","Functional","Clinic","PNFP","UCBHCA"
"Central Region","South Central","Sembabule District","Sembabule Town Council","Twinomujuni Clinic","T6nz7PK9u7u","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Twins Clinic (Rubaga) HC II","xy0cA8KnSa4","""""","Functional","HC II","PFP","Private"
"Northern Region","West Nile","Adjumani District","Pachara Subcounty","Uderu HC II","GLzzJWQkpk1","{""type"": ""Point"", ""coordinates"": [31.80375, 3.41156]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Ufamily Medical Chambers HC II","Nb9Ugw0FFci","""""","Functional","HC II","PFP","Private"
"Eastern Region","Teso","Soroti District","Northern Division (Soroti MC)","Uganda Cares HC II","UhJgr2Abb0p","""""","Functional","HC II","PNFP","NGO"
"Central Region","Kampala","Kampala District","Kawempe Division","Uganda Cares Kira Road Clinic HC II","jtaRhgDyYMT","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Uganda Cares Owino Clinic","zSlpKhPNJIB","""""","Functional","Clinic","PNFP","Private"
"Eastern Region","Bukedi","Budaka District","Mugiti Subcounty","Uganda Clay HC II","bYmBurvTSx2","""""","Functional","HC II","PNFP","Private"
"Central Region","South Central","Wakiso District","Kajjansi Town Council","Uganda Clays Clinic HC II","h5QCalZ5mav","""""","","HC II","PFP","Private"
"Western Region","Bunyoro","Buliisa District","Buliisa Town Council","Uganda Martyrs HC II","L527rOiqFUJ","{""type"": ""Point"", ""coordinates"": [31.41683, 2.10627]}","Functional","HC II","PNFP","UCMB"
"Central Region","South Central","Wakiso District","Namugongo Division","Uganda Martyrs Hospital","vb6L8SkLnK6","""""","Functional","Hospital","PNFP","NGO"
"Central Region","North Central","Mukono District","Nama Subcounty","Uganda Martyrs Medical Centre","HdJEg28NdQY","""""","Functional","HC II","",""
"Northern Region","West Nile","Arua District","Arua Hill Division","Uganda Military HC II","a8HZJttEnAD","{""type"": ""Point"", ""coordinates"": [30.98911, 2.817607]}","Functional","HC II","GOV",""
"Northern Region","West Nile","Adjumani District","Ukusijoni Subcounty","Ukusijoni HC III","Mq6H4E2PlH7","{""type"": ""Point"", ""coordinates"": [31.683179, 3.284425]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Madi-Okollo District","Uleppi Subcounty","Uleppi HC II","MSs48kYSaCz","{""type"": ""Point"", ""coordinates"": [31.03743, 2.77518]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Pader District","Pader Town Council","Ultimate Choice Clinic","AQkq4eUmWyJ","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Ultima Trauma Andorthopaedic Centre HC III","CdqOvINOfIr","""""","Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Uma Medical and Dental Clinic HC II","QcJ7SZHg7wj","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kakiri Town Council","Umar Bin Khatab Clinic HC II","YJ4JY0u0snU","""""","","HC II","PNFP","UMMB"
"Central Region","Kampala","Kampala District","Kawempe Division","UMC Victoria (Kamwokya) Hospital","L20gRk40SMX","""""","Functional","Hospital","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","UMC Victoria (Naguru) Hospital","fyWg56mdyYT","""""","Functional","Hospital","PFP","Private"
"Northern Region","West Nile","Yumbe District","Yumbe Town Council","Umoja Clinic","k8HLe4uciRP","""""","Functional","Clinic","PFP","Private"
"Central Region","North Central","Kayunga District","Kayonza Kayunga Subcounty","United Med Care (Bbale Road)","UITshGQRrFw","""""","Functional","Clinic","PFP","Private"
"Central Region","North Central","Kayunga District","Kayunga Town Council","United Medical Care Clinic","gZmlwywnQzd","""""","Functional","Clinic","PFP","Private"
"Northern Region","Lango","Kole District","Aboke Subcounty","Unity Clinic","gsVKCXIlrRv","""""","Non-Functional","Clinic","PFP","Private"
"Western Region","Tooro","Kyegegwa District","Kakabara Subcounty","Unity Clinic HC II","CKJ1pbnmJy5","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Oyam District","Loro Town Council","Unity Drug Shop - Oyam Loro Town Council","dz77jX3kEYJ","""""","Functional","Drug Shop","",""
"Northern Region","Lango","Oyam District","Minakulu Town Council","Unity Medical Clinic - Oyam","BZrpRu1javH","""""","Functional","Drug Shop","",""
"Western Region","Ankole","Ntungamo District","Central Division (Ntungamo MC)","Universal Health Care Clinic","rZUQEvxthk4","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Universal Health Care HC II","iUTEwhACTcz","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Universal Medical Clinic HC II","Ie0pqmhwwTP","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Entebbe Division A","Univic HC II","UTFnHPJ5egY","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Univic Medical Center HC II","EdEfEKVlDJa","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Univic Medical Centre HC II","uWAfhrmtwrv","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Gulu District","Unyama Subcounty","Unyama HC II","rigBgTrixkr","{""type"": ""Point"", ""coordinates"": [32.34853, 2.79679]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Upcare Orthopaedic Clinic HC II","Kq1PHELpcxR","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Mbarara District","Kakoba Division","UPDF 2nd Div. HC IV","a6CCCxArlVG","{""type"": ""Point"", ""coordinates"": [30.69114, -0.57455]}","Functional","HC IV","GOV","UPDF"
"Central Region","South Central","Wakiso District","Kajjansi Town Council","Uphill Medical Centre","emaUawGxpyF","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Upland Clinic (Makerere) HC II","qrkFBmwc0V5","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Upland Clinic (Nateete) HC II","SG6IU1tMViT","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Upper Muwereza Medical Clinic HC II","RDL6kCr8zgj","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Bugiri District","Western Division (Bugiri MC)","URHB Medical Center Clinic","YTYOolNiu9C","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Busoga","Namayingo District","Mutumba Subcounty","Urhc HC II","Hkw29W1Zsgo","""""","Functional","HC II","PFP","NGO"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Urocare Clinic HC II","WLjvxABRrkc","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","URO Care Hospital","MC86TzhBlKl","""""","","Hospital","PFP","Private"
"Northern Region","Karamoja","Kaabong District","Kamion Subcounty","Usake HC II","lIG8IeLFIta","""""","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Oyam Town Council","Utility Drug Shop - Oyam","hhHwjcM5lUE","""""","Functional","Drug Shop","",""
"Central Region","South Central","Wakiso District","Bunamwaya Division","Valley Medical Clinic, Zzana HC III","hW45QCdjntP","""""","","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Value Aid Labaratory Centre HC II","i4TFTQ51hs4","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mukono District","Central Division (Mukono MC)","Vantage Medical Centre HC II","tFBaZgnfbPK","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Vbc Medical Clinic HC II","HDqkS7fPasF","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Malaba Town Council","Veana Medical Center","osLBoCRwfhy","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Venus Medical Center HC II","nW4ydu7zUy5","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Venus Medical Centre HC II","cendOiT2Rrp","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Mbarara District","Kakiika Division","Veridina Medical Clinic","fxHApp8UtpE","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Verna Dental Clinic HC II","G2bEsFM9Gz6","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Masaka District","Nyendo-Senyange Division","Verona Medical Clinic","CEjqHnkRsq1","""""","Functional","Clinic","PFP","Private"
"Central Region","North Central","Kayunga District","Wabwoko-Kitimbwa Subcounty","Victor Health Clinic","yLA9yhHgR9J","""""","Functional","Clinic","PFP","Private"
"Northern Region","West Nile","Arua District","Arua Hill Division","Victoria Clinic (Arua) HC II","SAXzplJLv90","""""","Non-Functional","Clinic","PFP","Private"
"Eastern Region","Bukedi","Busia District","Western Division (Busia MC)","Victoria Clinic (Busia) Clinic","SRuOG2nF6oM","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Victoria Clinic - Kampala","YjkflYankYx","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Victoria Domiciliary Clinic","S1b0mLQAnBz","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kasangati Town Council","Victoria Domicilliary Clinic HC III","Y9JCoDv9KEE","""""","","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Victoria Health and Maternity Clinic HC II","l2mnMgjb7HJ","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Victoria Hospital","HCClHIUMMU2","""""","Functional","Hospital","PFP","Private"
"Northern Region","Lango","Lira District","Ojwina Division","Victoria Medical Centre","RqlBGNLFJWd","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Victoria Medical Centre HC II","SGK8OhBem9d","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","Victoria Medical Centre (Masajja) HC III","pMbWcRf3ZsC","""""","Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Victoria Medical Centre (Nakasero II) HC III","nAtO3aJWamk","""""","Functional","HC III","PFP","Private"
"Northern Region","West Nile","Adjumani District","Adjumani Town Council","Victoria Medical Clinic","TPbpO1shn32","""""","Functional","","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Victoria Medical Clinic HC II","c329u8or5q1","""""","","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Entebbe Division B","Victoria Medical Services HC IV","d5RaViSn8pK","""""","Functional","HC IV","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Victoria University Healthcare Centre HC III","UHr4bPnSWEM","""""","Functional","HC III","PFP","Private"
"Western Region","Kigezi","Kanungu District","Butogota Town Council","Victorious Medical Centre HC III","FKNo8U0ACV3","""""","Functional","HC III","PFP",""
"Central Region","South Central","Wakiso District","Nansana Division","Victorious Medical Clinic HC II","BZCbuL4qfYf","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Victor Medical Clinic HC II","Cxnq38Z0YWp","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Victory Domiciliary Clinic","KdXcYwODMXn","""""","Functional","HC II","PFP","Private"
